form_id,Form_trigger_method,Intercept Rate,Language,url,form_shown,form_submitted,conversion_rate,Begin_Date,End_Date
809,Trigger Based (trigger when trigger flag = true) , Light , Japanese,tealeaf,1,0,0,4/22/18,4/28/18
834,Quarterly Pulse (trigger every 90 days) , Heavy , Japanese,digitalexperience,1,1,100,4/22/18,4/28/18
857,Quarterly Pulse (trigger every 90 days) , Heavy , German,digitalexperience,1,0,0,4/22/18,4/28/18
739,LIVE - New User French,Medium,French,Watson Campaign Automation,2,0,0,4/29/18,5/5/18
739,LIVE - New User French,Medium,French,Watson Campaign Automation,3,0,0,4/29/18,5/5/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,1,0,0,4/29/18,5/5/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,936,119,13,4/29/18,5/5/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,3,0,0,4/29/18,5/5/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,1,1,100,4/29/18,5/5/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,5,0,0,4/29/18,5/5/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,21,2,10,4/29/18,5/5/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,3,0,0,4/29/18,5/5/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,3,0,0,4/29/18,5/5/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,1,0,0,4/29/18,5/5/18
744,LIVE - Message Sent Portuguese Brazil,Medium,Portuguese Brazil,Watson Campaign Automation,1,1,100,4/29/18,5/5/18
746,LIVE - Message Sent French,Medium,French,Watson Campaign Automation,2,1,50,4/29/18,5/5/18
746,LIVE - Message Sent French,Medium,French,Watson Campaign Automation,2,0,0,4/29/18,5/5/18
748,LIVE - Message Sent Japanese,Medium,Japanese,Watson Campaign Automation,1,0,0,4/29/18,5/5/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,50,10,20,4/29/18,5/5/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,4,2,50,4/29/18,5/5/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,2,0,0,4/29/18,5/5/18
3090,Shell - LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,20,2,10,4/29/18,5/5/18
3098,Shell - LIVE - New User English,Medium,English,Watson Campaign Automation,8,1,13,4/29/18,5/5/18
3098,Shell - LIVE - New User English,Medium,English,Watson Campaign Automation,0,0,null,4/29/18,5/5/18
782,Trigger Based (trigger when trigger flag = true) , Light , English,tealeaf,9,1,11,4/29/18,5/5/18
786,Trigger Based (trigger when trigger flag = true) , Heavy , English,digitalanalytics,43,8,19,4/29/18,5/5/18
786,Trigger Based (trigger when trigger flag = true) , Heavy , English,tealeaf,1,0,0,4/29/18,5/5/18
787,Quarterly Pulse (trigger every 90 days) , Heavy , English,digitalexperience,592,1,0,4/29/18,5/5/18
824,Trigger Based (trigger when trigger flag = true) , Heavy , French,digitalanalytics,3,1,33,4/29/18,5/5/18
739,LIVE - New User French,Medium,French,Watson Campaign Automation,2,0,0,5/6/18,5/21/18
739,LIVE - New User French,Medium,French,Watson Campaign Automation,1,0,0,5/6/18,5/21/18
741,LIVE - New User Japanese,Medium,Japanese,Watson Campaign Automation,1,1,100,5/6/18,5/21/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,2,0,0,5/6/18,5/21/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,4,0,0,5/6/18,5/21/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,1,1,100,5/6/18,5/21/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,1,0,0,5/6/18,5/21/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,2,0,0,5/6/18,5/21/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,19,6,32,5/6/18,5/21/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,902,114,13,5/6/18,5/21/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,3,0,0,5/6/18,5/21/18
743,LIVE - Message Sent Spanish Spain,Medium,Spanish Spain,Watson Campaign Automation,1,0,0,5/6/18,5/21/18
744,LIVE - Message Sent Portuguese Brazil,Medium,Portuguese Brazil,Watson Campaign Automation,1,0,0,5/6/18,5/21/18
746,LIVE - Message Sent French,Medium,French,Watson Campaign Automation,3,0,0,5/6/18,5/21/18
748,LIVE - Message Sent Japanese,Medium,Japanese,Watson Campaign Automation,2,1,50,5/6/18,5/21/18
748,LIVE - Message Sent Japanese,Medium,Japanese,Watson Campaign Automation,4,1,25,5/6/18,5/21/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,1,0,0,5/6/18,5/21/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,1,0,0,5/6/18,5/21/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,1,0,0,5/6/18,5/21/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,68,6,9,5/6/18,5/21/18
1695,TEST Shell - New User English,Heavy,English,Watson Campaign Automation,1,0,0,5/6/18,5/21/18
3090,Shell - LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,8,1,13,5/6/18,5/21/18
3098,Shell - LIVE - New User English,Medium,English,Watson Campaign Automation,7,3,43,5/6/18,5/21/18
782,Trigger Based (trigger when trigger flag = true) , Light , English,tealeaf,4,0,0,5/6/18,5/21/18
786,Trigger Based (trigger when trigger flag = true) , Heavy , English,digitalanalytics,7,2,29,5/6/18,5/21/18
786,Trigger Based (trigger when trigger flag = true) , Heavy , English,tealeaf,324,25,8,5/6/18,5/21/18
787,Quarterly Pulse (trigger every 90 days) , Heavy , English,digitalexperience,10,0,0,5/6/18,5/21/18
792,Trigger Based (trigger when trigger flag = true) , Heavy , Portuguese Brazil,tealeaf,1,0,0,5/6/18,5/21/18
807,Trigger Based (trigger when trigger flag = true) , Heavy , Korean,tealeaf,1,0,0,5/6/18,5/21/18
810,Trigger Based (trigger when trigger flag = true) , Heavy , Spanish Spain,tealeaf,11,2,18,5/6/18,5/21/18
816,Trigger Based (trigger when trigger flag = true) , Heavy , Japanese,tealeaf,3,1,33,5/6/18,5/21/18
824,Trigger Based (trigger when trigger flag = true) , Heavy , French,digitalanalytics,1,0,0,5/6/18,5/21/18
835,Trigger Based (trigger when trigger flag = true) , Heavy , Italian,digitalanalytics,1,0,0,5/6/18,5/21/18
737,LIVE - New User Portuguese Brazil,Medium,Portuguese Brazil,Watson Campaign Automation,2,1,50,5/13/18,5/19/18
739,LIVE - New User French,Medium,French,Watson Campaign Automation,3,0,0,5/13/18,5/19/18
739,LIVE - New User French,Medium,French,Watson Campaign Automation,7,0,0,5/13/18,5/19/18
741,LIVE - New User Japanese,Medium,Japanese,Watson Campaign Automation,2,1,50,5/13/18,5/19/18
741,LIVE - New User Japanese,Medium,Japanese,Watson Campaign Automation,2,0,0,5/13/18,5/19/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,1,1,100,5/13/18,5/19/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,18,2,11,5/13/18,5/19/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,8,0,0,5/13/18,5/19/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,979,142,15,5/13/18,5/19/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,2,2,100,5/13/18,5/19/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,3,0,0,5/13/18,5/19/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,2,0,0,5/13/18,5/19/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,2,1,50,5/13/18,5/19/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,4,0,0,5/13/18,5/19/18
744,LIVE - Message Sent Portuguese Brazil,Medium,Portuguese Brazil,Watson Campaign Automation,1,0,0,5/13/18,5/19/18
744,LIVE - Message Sent Portuguese Brazil,Medium,Portuguese Brazil,Watson Campaign Automation,2,0,0,5/13/18,5/19/18
746,LIVE - Message Sent French,Medium,French,Watson Campaign Automation,1,0,0,5/13/18,5/19/18
746,LIVE - Message Sent French,Medium,French,Watson Campaign Automation,7,2,29,5/13/18,5/19/18
748,LIVE - Message Sent Japanese,Medium,Japanese,Watson Campaign Automation,3,1,33,5/13/18,5/19/18
748,LIVE - Message Sent Japanese,Medium,Japanese,Watson Campaign Automation,1,1,100,5/13/18,5/19/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,6,3,50,5/13/18,5/19/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,79,13,16,5/13/18,5/19/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,1,0,0,5/13/18,5/19/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,1,0,0,5/13/18,5/19/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,2,0,0,5/13/18,5/19/18
3090,Shell - LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,17,3,18,5/13/18,5/19/18
3098,Shell - LIVE - New User English,Medium,English,Watson Campaign Automation,7,5,71,5/13/18,5/19/18
3098,Shell - LIVE - New User English,Medium,English,Watson Campaign Automation,0,0,null,5/13/18,5/19/18
3099,Shell - LIVE - New User French,Medium,French,Watson Campaign Automation,1,0,0,5/13/18,5/19/18
786,Trigger Based (trigger when trigger flag = true) , Heavy , English,tealeaf,164,20,12,5/13/18,5/19/18
787,Quarterly Pulse (trigger every 90 days) , Heavy , English,digitalexperience,21,4,19,5/13/18,5/19/18
807,Trigger Based (trigger when trigger flag = true) , Heavy , Korean,tealeaf,1,0,0,5/13/18,5/19/18
810,Trigger Based (trigger when trigger flag = true) , Heavy , Spanish Spain,tealeaf,3,1,33,5/13/18,5/19/18
816,Trigger Based (trigger when trigger flag = true) , Heavy , Japanese,tealeaf,4,0,0,5/13/18,5/19/18
824,Trigger Based (trigger when trigger flag = true) , Heavy , French,tealeaf,2,0,0,5/13/18,5/19/18
835,Trigger Based (trigger when trigger flag = true) , Heavy , Italian,tealeaf,1,0,0,5/13/18,5/19/18
737,LIVE - New User Portuguese Brazil,Medium,Portuguese Brazil,Watson Campaign Automation,0,0,null,5/20/18,5/26/18
739,LIVE - New User French,Medium,French,Watson Campaign Automation,1,1,100,5/20/18,5/26/18
741,LIVE - New User Japanese,Medium,Japanese,Watson Campaign Automation,2,0,0,5/20/18,5/26/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,3,1,33,5/20/18,5/26/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,1,0,0,5/20/18,5/26/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,1,0,0,5/20/18,5/26/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,8,0,0,5/20/18,5/26/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,1,0,0,5/20/18,5/26/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,2,0,0,5/20/18,5/26/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,2,0,0,5/20/18,5/26/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,993,136,14,5/20/18,5/26/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,20,2,10,5/20/18,5/26/18
746,LIVE - Message Sent French,Medium,French,Watson Campaign Automation,1,0,0,5/20/18,5/26/18
746,LIVE - Message Sent French,Medium,French,Watson Campaign Automation,8,0,0,5/20/18,5/26/18
748,LIVE - Message Sent Japanese,Medium,Japanese,Watson Campaign Automation,7,4,57,5/20/18,5/26/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,52,11,21,5/20/18,5/26/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,5,1,20,5/20/18,5/26/18
3090,Shell - LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,14,3,21,5/20/18,5/26/18
3098,Shell - LIVE - New User English,Medium,English,Watson Campaign Automation,4,0,0,5/20/18,5/26/18
786,Trigger Based (trigger when trigger flag = true) , Heavy , English,tealeaf,164,14,9,5/20/18,5/26/18
787,Quarterly Pulse (trigger every 90 days) , Heavy , English,digitalexperience,21,1,5,5/20/18,5/26/18
807,Trigger Based (trigger when trigger flag = true) , Heavy , Korean,tealeaf,1,0,0,5/20/18,5/26/18
816,Trigger Based (trigger when trigger flag = true) , Heavy , Japanese,tealeaf,6,1,17,5/20/18,5/26/18
824,Trigger Based (trigger when trigger flag = true) , Heavy , French,tealeaf,2,0,0,5/20/18,5/26/18
737,LIVE - New User Portuguese Brazil,Medium,Portuguese Brazil,Watson Campaign Automation,2,0,0,5/27/18,6/2/18
739,LIVE - New User French,Medium,French,Watson Campaign Automation,2,1,50,5/27/18,6/2/18
739,LIVE - New User French,Medium,French,Watson Campaign Automation,3,0,0,5/27/18,6/2/18
741,LIVE - New User Japanese,Medium,Japanese,Watson Campaign Automation,2,0,0,5/27/18,6/2/18
741,LIVE - New User Japanese,Medium,Japanese,Watson Campaign Automation,1,0,0,5/27/18,6/2/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,1,1,100,5/27/18,6/2/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,2,0,0,5/27/18,6/2/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,883,120,14,5/27/18,6/2/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,2,0,0,5/27/18,6/2/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,19,2,11,5/27/18,6/2/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,1,0,0,5/27/18,6/2/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,1,0,0,5/27/18,6/2/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,1,0,0,5/27/18,6/2/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,5,2,40,5/27/18,6/2/18
743,LIVE - Message Sent Spanish Spain,Medium,Spanish Spain,Watson Campaign Automation,1,0,0,5/27/18,6/2/18
744,LIVE - Message Sent Portuguese Brazil,Medium,Portuguese Brazil,Watson Campaign Automation,1,0,0,5/27/18,6/2/18
746,LIVE - Message Sent French,Medium,French,Watson Campaign Automation,7,2,29,5/27/18,6/2/18
746,LIVE - Message Sent French,Medium,French,Watson Campaign Automation,1,0,0,5/27/18,6/2/18
747,LIVE - Message Sent German,Medium,German,Watson Campaign Automation,1,0,0,5/27/18,6/2/18
748,LIVE - Message Sent Japanese,Medium,Japanese,Watson Campaign Automation,1,0,0,5/27/18,6/2/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,1,0,0,5/27/18,6/2/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,68,8,12,5/27/18,6/2/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,4,1,25,5/27/18,6/2/18
3090,Shell - LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,19,1,5,5/27/18,6/2/18
3098,Shell - LIVE - New User English,Medium,English,Watson Campaign Automation,4,2,50,5/27/18,6/2/18
786,Trigger Based (trigger when trigger flag = true) , Heavy , English,digitalanalytics,1,1,100,5/27/18,6/2/18
786,Trigger Based (trigger when trigger flag = true) , Heavy , English,tealeaf,154,12,8,5/27/18,6/2/18
787,Quarterly Pulse (trigger every 90 days) , Heavy , English,digitalexperience,6,0,0,5/27/18,6/2/18
810,Trigger Based (trigger when trigger flag = true) , Heavy , Spanish Spain,tealeaf,4,2,50,5/27/18,6/2/18
816,Trigger Based (trigger when trigger flag = true) , Heavy , Japanese,tealeaf,12,3,25,5/27/18,6/2/18
834,Quarterly Pulse (trigger every 90 days) , Heavy , Japanese,digitalexperience,1,0,0,5/27/18,6/2/18
863,Trigger Based (trigger when trigger flag = true) , Heavy , Chinese Simplified,tealeaf,1,0,0,5/27/18,6/2/18
737,LIVE - New User Portuguese Brazil,Medium,Portuguese Brazil,Watson Campaign Automation,2,0,0,5/27/18,6/2/18
739,LIVE - New User French,Medium,French,Watson Campaign Automation,2,1,50,5/27/18,6/2/18
739,LIVE - New User French,Medium,French,Watson Campaign Automation,3,0,0,5/27/18,6/2/18
741,LIVE - New User Japanese,Medium,Japanese,Watson Campaign Automation,2,0,0,5/27/18,6/2/18
741,LIVE - New User Japanese,Medium,Japanese,Watson Campaign Automation,1,0,0,5/27/18,6/2/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,1,1,100,5/27/18,6/2/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,2,0,0,5/27/18,6/2/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,883,120,14,5/27/18,6/2/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,2,0,0,5/27/18,6/2/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,19,2,11,5/27/18,6/2/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,1,0,0,5/27/18,6/2/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,1,0,0,5/27/18,6/2/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,1,0,0,5/27/18,6/2/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,5,2,40,5/27/18,6/2/18
743,LIVE - Message Sent Spanish Spain,Medium,Spanish Spain,Watson Campaign Automation,1,0,0,5/27/18,6/2/18
744,LIVE - Message Sent Portuguese Brazil,Medium,Portuguese Brazil,Watson Campaign Automation,1,0,0,5/27/18,6/2/18
746,LIVE - Message Sent French,Medium,French,Watson Campaign Automation,7,2,29,5/27/18,6/2/18
746,LIVE - Message Sent French,Medium,French,Watson Campaign Automation,1,0,0,5/27/18,6/2/18
747,LIVE - Message Sent German,Medium,German,Watson Campaign Automation,1,0,0,5/27/18,6/2/18
748,LIVE - Message Sent Japanese,Medium,Japanese,Watson Campaign Automation,1,0,0,5/27/18,6/2/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,1,0,0,5/27/18,6/2/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,68,8,12,5/27/18,6/2/18
749,LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,4,1,25,5/27/18,6/2/18
3090,Shell - LIVE - Message Sent English,Heavy,English,Watson Campaign Automation,19,1,5,5/27/18,6/2/18
3098,Shell - LIVE - New User English,Medium,English,Watson Campaign Automation,4,2,50,5/27/18,6/2/18
786,Trigger Based (trigger when trigger flag = true) , Heavy , English,digitalanalytics,1,1,100,5/27/18,6/2/18
786,Trigger Based (trigger when trigger flag = true) , Heavy , English,tealeaf,154,12,8,5/27/18,6/2/18
787,Quarterly Pulse (trigger every 90 days) , Heavy , English,digitalexperience,6,0,0,5/27/18,6/2/18
810,Trigger Based (trigger when trigger flag = true) , Heavy , Spanish Spain,tealeaf,4,2,50,5/27/18,6/2/18
816,Trigger Based (trigger when trigger flag = true) , Heavy , Japanese,tealeaf,12,3,25,5/27/18,6/2/18
834,Quarterly Pulse (trigger every 90 days) , Heavy , Japanese,digitalexperience,1,0,0,5/27/18,6/2/18
863,Trigger Based (trigger when trigger flag = true) , Heavy , Chinese Simplified,tealeaf,1,0,0,5/27/18,6/2/18
739,LIVE - New User French,Medium,French,Watson Campaign Automation,2,2,100,6/3/18,6/9/18
739,LIVE - New User French,Medium,French,Watson Campaign Automation,2,0,0,6/3/18,6/9/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,2,1,50,6/3/18,6/9/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,2,0,0,6/3/18,6/9/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,2,0,0,6/3/18,6/9/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,3,0,0,6/3/18,6/9/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,1,0,0,6/3/18,6/9/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,869,130,15,6/3/18,6/9/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,1,0,0,6/3/18,6/9/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,2,0,0,6/3/18,6/9/18
742,LIVE - New User English,Medium,English,Watson Campaign Automation,9,0,0,6/3/18,6/9/18
744,LIVE - Message Sent Portuguese Brazil,Medium,Portuguese Brazil,Watson Campaign Automation,1,0,0,6/3/18,6/9/18
746,LIVE - Message Sent French,Medium,French,Watson Campaign Automation,3,2,67,6/3/18,6/9/18
